Lien,Kilomètrage,Couleur,Etat,Boite,Année,Cylindré,Marque,Gamme,Puissance,Carrosserie,Carburant,Prix
https://www.tayara.tn/item/63d59c5b1b3fed8fd49b75a8/,95000,Blanc,Nouveau,Manuelle,2017,1.2L,Citroen,DS3,5,Compacte,Essence,39
https://www.tayara.tn/item/640b0727ff75361c11d745c4/,208000,Noir,Avec kilométrage,Manuelle,2016,1.2L,Volkswagen,Golf,5,Compacte,Essence,53
https://www.tayara.tn/item/640ae983ff75361c11d73b4f/,87000,Gris,Avec kilométrage,Manuelle,2017,1.2L,Volkswagen,Golf 7,6,Compacte,Essence,67
https://www.tayara.tn/item/6407b212ff75361c11d6b881/,99000,Rouge,Avec kilométrage,Manuelle,2015,1.4L,Alfa Romeo,Giulietta,7,Compacte,Essence,35
https://www.tayara.tn/item/6405e9bd8575ab54182de585/,58500,Gris,Avec kilométrage,Manuelle,2020,1.2L,Renault,Clio,5,Compacte,Essence,42
https://www.tayara.tn/item/63efc57857924122c28ab905/,120000,Noir,Avec kilométrage,Automatique,2015,1.2L,Renault,Clio,6,Compacte,Essence,41
https://www.tayara.tn/item/63f4f8ba30c4f61e5134ba1d/,50000,Blanc,Avec kilométrage,Manuelle,2019,1.2L,Peugeot,208,4,Compacte,Essence,35
https://www.tayara.tn/item/640387198575ab54182db700/,60000,Blanc,Avec kilométrage,Manuelle,2018,1.2L,Fiat,500,4,Compacte,Essence,45
https://www.tayara.tn/item/640fa76e66fcaf8706df5ff6/,4,Rouge,Nouveau,Manuelle,2022,1.2L,Suzuki,Celerio,4,Compacte,Essence,34
,,,,,,,,,,,,
https://www.tayara.tn/item/640f9c3666fcaf8706df5ea2/,100000,Beige,Avec kilométrage,Manuelle,2008,1.6L,Peugeot,207,5,Compacte,Diesel,21
https://www.tayara.tn/item/640f9ad666fcaf8706df5e70/,97000,Gris,Avec kilométrage,Manuelle,2018,1.2L,Mahindra,Hover,82,Compacte,Essence,30
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.tayara.tn/item/640f8f4e66fcaf8706df5c2f/,180000,Bleu,Avec kilométrage,Manuelle,2009,1.2L,Citroen,C3,4,Compacte,Essence,21
https://www.tayara.tn/item/640f8c7e66fcaf8706df5b83/,161000,Blanc,Avec kilométrage,Manuelle,2017,1.2L,Fiat,Doblo,5,Compacte,Diesel,21
https://www.tayara.tn/item/640f84d866fcaf8706df59bc/,230000,Noir,Avec kilométrage,Manuelle,2012,1.2L,Fiat,Grande Punto,5,Compacte,Essence,18
https://www.tayara.tn/item/640f82bb66fcaf8706df5938/,105600,Noir,Avec kilométrage,Automatique,1985,1.1L,Fiat,Punto,111,Compacte,Essence,12
https://www.tayara.tn/item/640f317aff75361c11d7fa39/,80100,Gris,Avec kilométrage,Automatique,2018,1.6L,Toyota,RAV 4,7,Compacte,Essence,73
https://www.tayara.tn/item/640f7b8a66fcaf8706df57f7/,112000,Rouge,Avec kilométrage,Manuelle,2010,1.1L,Kia,Picanto,4,Compacte,Essence,25
,,,,,,,,,,,,
https://www.tayara.tn/item/640f70e266fcaf8706df5609/,1234,Noir,Avec kilométrage,Manuelle,2019,1.2L,Audi,A3,6,Compacte,Essence,70
https://www.tayara.tn/item/640f6f5966fcaf8706df55c7/,270000,Gris,Avec kilométrage,Manuelle,98,1.4L,Volkswagen,Golf,5,Compacte,Essence,22
https://www.tayara.tn/item/640f6dcd66fcaf8706df5580/,154000,Gris,Avec kilométrage,Manuelle,2011,1.1L,Citroen,C3,5,Compacte,Essence,25
,,,,,,,,,,,,
https://www.tayara.tn/item/640f6c8866fcaf8706df554e/,57,Noir,Avec kilométrage,Manuelle,2019,1.4L,Geely,MK-GL,6,Compacte,Essence,42
https://www.tayara.tn/item/640f6bf266fcaf8706df553b/,200000,Noir,RS,Manuelle,2010,1.6L,Chevrolet,Aveo,0,Compacte,Essence,20
,,,,,,,,,,,,
https://www.tayara.tn/item/640f638b66fcaf8706df53a9/,3500,Gris,Nouveau,Manuelle,2023,1.2L,Hyundai,I 10,5,Compacte,Essence,20
,,,,,,,,,,,,
https://www.tayara.tn/item/640f614366fcaf8706df532f/,164,Noir,Avec kilométrage,Manuelle,2008,1.2L,Renault,Clio,5,Compacte,Essence,22
https://www.tayara.tn/item/640f5c2566fcaf8706df524e/,328000,Blanc,Avec kilométrage,Manuelle,2010,1.6L,Citroen,C4,6,Compacte,Diesel,22
https://www.tayara.tn/item/640f5ac466fcaf8706df51f6/,40000,Bleu,Avec kilométrage,Manuelle,2013,1.4L,Kia,Rio,5,Compacte,Essence,
https://www.tayara.tn/item/640f576f66fcaf8706df515a/,175000,Vert,Avec kilométrage,Manuelle,2002,<1.0L,Opel,Corsa,4,Compacte,Essence,13
https://www.tayara.tn/item/640f575166fcaf8706df514e/,21000,Bleu,Avec kilométrage,Automatique,2021,1.2L,Fiat,500,4,Compacte,Essence,52
https://www.tayara.tn/item/640f52a866fcaf8706df501e/,250000,Gris,Avec kilométrage,Manuelle,2007,1.2L,Fiat,Palio,4,Compacte,Essence,17
https://www.tayara.tn/item/640f4e8766fcaf8706df4ef4/,180000,Rouge,Avec kilométrage,Manuelle,20000,1.4L,Renault,Clio,4,Compacte,Essence,18
https://www.tayara.tn/item/640f4b4766fcaf8706df4e12/,110000,Rouge,Nouveau,Automatique,2019,1.3L,Kia,Picanto,5,Compacte,Essence,41
https://www.tayara.tn/item/640f44ec66fcaf8706df4c30/,114000,Gris,Avec kilométrage,Manuelle,2011,1.4L,Peugeot,207,5,Compacte,Essence,26
https://www.tayara.tn/item/640f449766fcaf8706df4c0f/,300,Bleu,Avec kilométrage,Manuelle,2004,1.2L,Renault,Clio,4,Compacte,Essence,18
https://www.tayara.tn/item/640f445166fcaf8706df4bf5/,227000,Bleu,Avec kilométrage,Manuelle,2015,1.4L,Citroen,Nemo,6,Compacte,Diesel,18
https://www.tayara.tn/item/63f4d7cc30c4f61e5134b595/,85000,Rouge,Avec kilométrage,Manuelle,2019,1.2L,Mahindra,Scorpion,5,Compacte,Essence,27
,,,,,,,,,,,,
,,,,,,,,,,,,
